wave,flux,flux_err
1350.0,1.1858660275885783e-13,7.705004750049608e-16
1351.0,1.183297512681354e-13,7.641900786133668e-16
1352.0,1.1808340766999642e-13,7.623424523303268e-16
1353.0,1.1783894308427175e-13,7.6186902352707705e-16
1354.0,1.176024836352428e-13,7.587325145048283e-16
1355.0,1.1735078539368209e-13,7.573233387896118e-16
1356.0,1.1711738675300412e-13,7.548126676025154e-16
1357.0,1.1686307760713892e-13,7.522406694223977e-16
1358.0,1.1663100553770147e-13,7.510772782496081e-16
1359.0,1.1639516522449895e-13,7.498355388192782e-16
1360.0,1.1614512598074858e-13,7.464572376654385e-16
1361.0,1.1591088619266168e-13,7.440852648399122e-16
1362.0,1.1567426306077844e-13,7.413453298464839e-16
1363.0,1.154370208725133e-13,7.417616615947272e-16
1364.0,1.1518431858949004e-13,7.392660950288706e-16
1365.0,1.1494945263248603e-13,7.381078665268277e-16
1366.0,1.1471173303735935e-13,7.353797471863254e-16
1367.0,1.1447586429486721e-13,7.330282887672696e-16
1368.0,1.1423466937223104e-13,7.3143348930003e-16
1369.0,1.1399894203085062e-13,7.309486944079408e-16
1370.0,1.1376571155255044e-13,7.302017718936104e-16
1371.0,1.1353313475966813e-13,7.256120374458432e-16
1372.0,1.1329547152322365e-13,7.230479227821863e-16
1373.0,1.1305848368503369e-13,7.2093659351641785e-16
1374.0,1.1282074913390893e-13,7.186067554927842e-16
1375.0,1.1258645653537951e-13,7.16894981306894e-16
1376.0,1.1235591926196445e-13,7.159346348870277e-16
1377.0,1.1212506707373938e-13,7.14978509593079e-16
1378.0,1.1189048551895471e-13,7.104088022266649e-16
1379.0,1.116668393610558e-13,7.108233091143575e-16
1380.0,1.1143129683592595e-13,7.091288523299897e-16
1381.0,1.1119179636761492e-13,7.068197140617887e-16
1382.0,1.1095690104247277e-13,7.023798030224319e-16
1383.0,1.1072784857556257e-13,7.014609195645139e-16
1384.0,1.1050268704538598e-13,7.004867409824157e-16
1385.0,1.1026852895001444e-13,6.98105184514883e-16
1386.0,1.1003371781627686e-13,6.954460689937849e-16
1387.0,1.0981085693419926e-13,6.922802457499541e-16
1388.0,1.0958460651582704e-13,6.913981018408571e-16
1389.0,1.0935811201904203e-13,6.905175316790496e-16
1390.0,1.0913169847361508e-13,6.896422074804658e-16
1391.0,1.0891555889199868e-13,6.870509408232714e-16
1392.0,1.0867960862570689e-13,6.842688790364336e-16
1393.0,1.0844997579992648e-13,6.833508632250721e-16
1394.0,1.0822938185208175e-13,6.802858936312766e-16
1395.0,1.0799894781862873e-13,6.79365907064236e-16
1396.0,1.0777204525970789e-13,6.778820125024242e-16
1397.0,1.0756471479756898e-13,6.755524035244199e-16
1398.0,1.073335217204487e-13,6.76089940564619e-16
1399.0,1.0710529772246745e-13,6.703555563438451e-16
1400.0,1.0688721429144934e-13,6.700012254100198e-16
1401.0,1.0666811775068676e-13,6.674062332482967e-16
1402.0,1.0644603352493995e-13,6.672152935717456e-16
1403.0,1.0621755051933283e-13,6.615935940415228e-16
1404.0,1.0601013215493115e-13,6.62884383224021e-16
1405.0,1.0577680723460417e-13,6.596192447975797e-16
1406.0,1.0557050979623944e-13,6.598703562489576e-16
1407.0,1.0534642933972788e-13,6.55806426007631e-16
1408.0,1.0512450855020844e-13,6.552646379011809e-16
1409.0,1.0490367039666176e-13,6.53794330932057e-16
1410.0,1.0468399870214842e-13,6.500602487277373e-16
1411.0,1.044839340499653e-13,6.492052749687031e-16
1412.0,1.0424571358367819e-13,6.454275134981818e-16
1413.0,1.0404135889805405e-13,6.465872756859357e-16
1414.0,1.0382354834321481e-13,6.440908329007841e-16
