wave,flux,flux_err
1350.0,4.9558327035019735e-14,3.004422175855089e-16
1351.0,4.944683590445591e-14,2.9934476243531585e-16
1352.0,4.933529429999316e-14,2.982647001034272e-16
1353.0,4.923141647216042e-14,2.9357609747584995e-16
1354.0,4.911972627053374e-14,2.9249690208392166e-16
1355.0,4.9008008211750275e-14,2.9138626398166865e-16
1356.0,4.889714629910471e-14,2.8903040864812844e-16
1357.0,4.8792107077296875e-14,2.8577203395101027e-16
1358.0,4.868105199016656e-14,2.834549502483338e-16
1359.0,4.85735885644086e-14,2.823243432614986e-16
1360.0,4.846479674320025e-14,2.8171699147996155e-16
1361.0,4.836033334852474e-14,2.774485264201221e-16
1362.0,4.824814254712747e-14,2.769423245887363e-16
1363.0,4.8143607241240314e-14,2.7483663185852006e-16
1364.0,4.8032305600188935e-14,2.7385809931547135e-16
1365.0,4.7927642954374165e-14,2.729575273510777e-16
1366.0,4.782289492391606e-14,2.6895535406491745e-16
1367.0,4.7717212438657593e-14,2.6603296614034613e-16
1368.0,4.760566453757448e-14,2.6767243847937113e-16
1369.0,4.7500816541033036e-14,2.6426718186331664e-16
1370.0,4.739586602187655e-14,2.6289264685494103e-16
1371.0,4.729177451983033e-14,2.611676202249917e-16
1372.0,4.71868089348712e-14,2.568641169655899e-16
1373.0,4.7081668218540916e-14,2.5642411079074074e-16
1374.0,4.697646166818894e-14,2.561973689622207e-16
1375.0,4.687136533362859e-14,2.5510716061222014e-16
1376.0,4.6769754172648595e-14,2.5089879040494036e-16
1377.0,4.666844284052797e-14,2.5010122861457387e-16
1378.0,4.6563044300859445e-14,2.4980152135695747e-16
1379.0,4.6458512082785305e-14,2.4782080411307984e-16
1380.0,4.635840207944216e-14,2.4669695171703036e-16
1381.0,4.6255260530921373e-14,2.4584840613382394e-16
1382.0,4.614963894318516e-14,2.4162010544036e-16
1383.0,4.6052871141884154e-14,2.4227267097034097e-16
1384.0,4.594980407241739e-14,2.379431346695621e-16
1385.0,4.584677304529587e-14,2.358872705143936e-16
1386.0,4.5743609416770826e-14,2.377922895603621e-16
1387.0,4.564121187465345e-14,2.3480288687732257e-16
1388.0,4.554470139598674e-14,2.305075940728002e-16
1389.0,4.5442270040314404e-14,2.3130166221076013e-16
1390.0,4.533900549527978e-14,2.293008513730443e-16
1391.0,4.524326524373973e-14,2.2786666567717526e-16
1392.0,4.513986515259121e-14,2.2582273790541572e-16
1393.0,4.504395618916097e-14,2.2443989481214034e-16
1394.0,4.494136682815394e-14,2.2129114265826035e-16
1395.0,4.484509397418654e-14,2.2031993009893998e-16
1396.0,4.4742591481423743e-14,2.213299999083845e-16
1397.0,4.464572124631227e-14,2.180715511016673e-16
1398.0,4.454965905287743e-14,2.152375426838661e-16
1399.0,4.4451213211776714e-14,2.1463953900669266e-16
