wave,flux,flux_err
1350.0,4.1735608547545296e-14,2.8246247548949066e-16
1351.0,4.1636716878007423e-14,2.861016938768747e-16
1352.0,4.153782925009063e-14,2.9012807003377473e-16
1353.0,4.143532616214533e-14,2.8958738602245748e-16
1354.0,4.1329653297982506e-14,2.8336483186155717e-16
1355.0,4.12245575711511e-14,2.8425792446666577e-16
1356.0,4.1129735446813986e-14,2.821458476449396e-16
1357.0,4.1028464741959037e-14,2.841088039244806e-16
1358.0,4.0933123890272706e-14,2.8741783752181707e-16
1359.0,4.083758038214767e-14,2.9291292379259437e-16
1360.0,4.074055835779403e-14,2.9364299058303983e-16
1361.0,4.0637345923351027e-14,2.9036567074137667e-16
1362.0,4.053376228715558e-14,2.8352311056614215e-16
1363.0,4.0442924800762134e-14,2.9224732443440685e-16
1364.0,4.0341247762630445e-14,2.9154957165092076e-16
1365.0,4.0240467284054333e-14,2.84625445850102e-16
1366.0,4.0148460859476216e-14,2.8881915382768636e-16
1367.0,4.004716667088182e-14,2.854670579161952e-16
1368.0,3.995634247600573e-14,2.849550158889563e-16
1369.0,3.985503445319822e-14,2.884072259230125e-16
1370.0,3.976412185653869e-14,2.811231440875972e-16
1371.0,3.966279094264203e-14,2.8513678736814853e-16
1372.0,3.9572007196635244e-14,2.7961644835634524e-16
1373.0,3.947528178853138e-14,2.798341238194813e-16
1374.0,3.937847656988116e-14,2.8008818536877626e-16
1375.0,3.928225945508422e-14,2.813507566612215e-16
1376.0,3.9192019917881e-14,2.7330315880556277e-16
1377.0,3.9089264126105904e-14,2.7642234592006936e-16
1378.0,3.900255261300445e-14,2.735253887251676e-16
1379.0,3.891275100979896e-14,2.6793489436137973e-16
1380.0,3.8816552653490015e-14,2.6862805115774907e-16
1381.0,3.8724327397365137e-14,2.6700322442656233e-16
1382.0,3.863437298375578e-14,2.6423659914636094e-16
1383.0,3.853441954813716e-14,2.6882961780911593e-16
1384.0,3.8445701830904914e-14,2.6355552066976e-16
1385.0,3.834979137097539e-14,2.6759743207023244e-16
1386.0,3.825987802038204e-14,2.622231173374926e-16
1387.0,3.817028955688126e-14,2.6097527715064207e-16
1388.0,3.807897397891334e-14,2.6024928238971302e-16
1389.0,3.7986654359963505e-14,2.60209693130151e-16
1390.0,3.789815457117128e-14,2.5949987285447583e-16
1391.0,3.780581817561026e-14,2.594296900650312e-16
1392.0,3.7717174214196435e-14,2.5873609144315984e-16
1393.0,3.7626452848496784e-14,2.5709267054693123e-16
1394.0,3.753653457923544e-14,2.5785013849622903e-16
1395.0,3.744778129410512e-14,2.549297289371007e-16
1396.0,3.7359039843309026e-14,2.5626598444564886e-16
1397.0,3.726982001789489e-14,2.5441006120553947e-16
1398.0,3.71807657051962e-14,2.560914940686904e-16
1399.0,3.709247083211595e-14,2.5301727419866697e-16
1400.0,3.700460508046445e-14,2.535602450768676e-16
1401.0,3.691757840627162e-14,2.527211218265641e-16
1402.0,3.6830121942515e-14,2.5167520081934284e-16
1403.0,3.674152010226816e-14,2.5080236702465226e-16
1404.0,3.6656117782684734e-14,2.498936725984113e-16
1405.0,3.6567995149236236e-14,2.4811113113624265e-16
1406.0,3.648196126821454e-14,2.4843370346068896e-16
1407.0,3.6396421327916644e-14,2.4741083530725477e-16
1408.0,3.6309770033807684e-14,2.469449269864422e-16
1409.0,3.622357260943013e-14,2.469723751020407e-16
1410.0,3.613893585356992e-14,2.4590283707859577e-16
1411.0,3.60533893868441e-14,2.450109889902874e-16
1412.0,3.5968504727668367e-14,2.44552463720556e-16
1413.0,3.5883181459762035e-14,2.4378081718947757e-16
1414.0,3.579891977644486e-14,2.4339169140921864e-16
1415.0,3.571450461727818e-14,2.4269604688123886e-16
1416.0,3.56308409424547e-14,2.420021568504179e-16
1417.0,3.554635311536436e-14,2.416960082462934e-16
1418.0,3.546295141692095e-14,2.4102078868069357e-16
1419.0,3.5380379201412785e-14,2.401238870678324e-16
1420.0,3.529694655261955e-14,2.3945878612701927e-16
1421.0,3.521412121946563e-14,2.3902410106570167e-16
1422.0,3.513163942007485e-14,2.3844420744851373e-16
1423.0,3.504906664876028e-14,2.372779881704774e-16
1424.0,3.496734999553815e-14,2.371016944550486e-16
1425.0,3.488544835081557e-14,2.3688041305513945e-16
1426.0,3.4803003046214756e-14,2.3637752210243477e-16
1427.0,3.472129366778966e-14,2.3480825236988413e-16
1428.0,3.464086287180232e-14,2.3460928698010177e-16
1429.0,3.456030928898912e-14,2.3380189073790924e-16
1430.0,3.4479128617494064e-14,2.332886318505257e-16
1431.0,3.4398858130550454e-14,2.3268358803543955e-16
1432.0,3.4317687055384024e-14,2.315841687790794e-16
1433.0,3.42382699326106e-14,2.3171574200073627e-16
1434.0,3.4158633099271414e-14,2.304696413160551e-16
1435.0,3.40789600485734e-14,2.30695944062952e-16
1436.0,3.399925082109851e-14,2.2959597348463405e-16
1437.0,3.3920725059068236e-14,2.296954550884784e-16
1438.0,3.384212980300741e-14,2.2864369951076836e-16
1439.0,3.376222570120636e-14,2.283239861022564e-16
1440.0,3.3684427957150545e-14,2.27290769620174e-16
1441.0,3.3606620890533903e-14,2.2700972504285114e-16
1442.0,3.3528845312372885e-14,2.259814079586502e-16
1443.0,3.3451106776123025e-14,2.2540360457315616e-16
1444.0,3.33733422531398e-14,2.2495255458289544e-16
1445.0,3.329549167970811e-14,2.246651626306515e-16
1446.0,3.321835398718322e-14,2.232849147206558e-16
1447.0,3.3141261557828655e-14,2.233027946718007e-16
1448.0,3.3065838476663355e-14,2.224943387182771e-16
1449.0,3.298810288072517e-14,2.22174472311754e-16
1450.0,3.2912088651365774e-14,2.2167936816322544e-16
1451.0,3.283638822131039e-14,2.2143021153020297e-16
1452.0,3.276031307119266e-14,2.2103105200483045e-16
1453.0,3.268595204169684e-14,2.1980655231318605e-16
