wave,flux,flux_err
1350.0,7.763019748740795e-15,6.15874129826104e-17
1351.0,7.746644588805685e-15,6.098616587148651e-17
1352.0,7.730938276469447e-15,5.97555951592823e-17
1353.0,7.714867605332282e-15,5.98171990805458e-17
1354.0,7.699766078566508e-15,5.891205467279193e-17
1355.0,7.683450622451488e-15,5.903696877713071e-17
1356.0,7.668472101782296e-15,5.965151487364372e-17
1357.0,7.651881364365589e-15,5.917722381290707e-17
1358.0,7.636907504679502e-15,5.97109029133283e-17
1359.0,7.621740418209491e-15,6.047668283967862e-17
1360.0,7.605552093572402e-15,6.035530432311602e-17
1361.0,7.59049432701033e-15,6.090859070002011e-17
1362.0,7.575322516095879e-15,6.157966777016864e-17
1363.0,7.559876787307302e-15,6.189422916869084e-17
1364.0,7.543447429432034e-15,6.168602433169135e-17
1365.0,7.528290488489032e-15,6.224739703061415e-17
1366.0,7.513039394505377e-15,6.290216171965929e-17
1367.0,7.497863511638534e-15,6.343047054742405e-17
1368.0,7.482137356727502e-15,6.319014809210292e-17
1369.0,7.466766556837782e-15,6.318367376420979e-17
1370.0,7.4516495748646e-15,6.35441199711315e-17
1371.0,7.436778354901244e-15,6.399546885168256e-17
1372.0,7.421589952233944e-15,6.495038053988135e-17
1373.0,7.406314699679783e-15,6.543279105652857e-17
1374.0,7.39100380398924e-15,6.593295815187969e-17
1375.0,7.375843363278757e-15,6.622507577309974e-17
1376.0,7.360838864904219e-15,6.626899812751616e-17
1377.0,7.345812018478203e-15,6.630952881620183e-17
1378.0,7.330895929219179e-15,6.715902575075648e-17
1379.0,7.31617590343537e-15,6.674251914536389e-17
1380.0,7.300924643077037e-15,6.70150061100161e-17
1381.0,7.285485588067673e-15,6.748726469869932e-17
1382.0,7.270527871592975e-15,6.637248965768465e-17
1383.0,7.255601547881002e-15,6.625276526125892e-17
1384.0,7.240920741374146e-15,6.61735275994885e-17
1385.0,7.225832732656023e-15,6.560631021679194e-17
1386.0,7.2107121085155e-15,6.503269540584297e-17
1387.0,7.196387987756146e-15,6.370839363179523e-17
1388.0,7.181628301767024e-15,6.363629511656618e-17
1389.0,7.166851110462657e-15,6.356727461896214e-17
1390.0,7.152076826488851e-15,6.350408879875698e-17
1391.0,7.138429302582434e-15,6.204835562418367e-17
1392.0,7.123225272867071e-15,6.1507563595514e-17
1393.0,7.108270130577517e-15,6.133521163507943e-17
1394.0,7.094027018754945e-15,6.022389332587497e-17
1395.0,7.079021535979656e-15,6.003981148022089e-17
1396.0,7.0642327975060544e-15,5.987882168333108e-17
1397.0,7.050973776277491e-15,5.914762904045703e-17
1398.0,7.035863109849851e-15,5.89843120583376e-17
1399.0,7.021304404508951e-15,5.751588341525472e-17
1400.0,7.0069409108931066e-15,5.797531867450754e-17
1401.0,6.9930381285451765e-15,5.659621990742956e-17
1402.0,6.978398031691951e-15,5.696217196715452e-17
1403.0,6.9638039285324996e-15,5.553715916768831e-17
1404.0,6.950223106331265e-15,5.616625681173162e-17
1405.0,6.935284598944209e-15,5.45563748736991e-17
1406.0,6.921825323467421e-15,5.497701556437785e-17
1407.0,6.9073448009845425e-15,5.414090551773287e-17
1408.0,6.892956381996195e-15,5.3935335725477315e-17
1409.0,6.878688587872759e-15,5.393445846434491e-17
1410.0,6.864439125222436e-15,5.373639796118156e-17
1411.0,6.851456870700648e-15,5.368792107012487e-17
1412.0,6.836126694740638e-15,5.363279493471713e-17
1413.0,6.822799802553605e-15,5.363103338773395e-17
1414.0,6.8086834611512764e-15,5.35175340163383e-17
1415.0,6.794825392608899e-15,5.350999791044951e-17
1416.0,6.781256366144293e-15,5.3456528736774846e-17
1417.0,6.7674793451472245e-15,5.320985076462516e-17
1418.0,6.752943573506634e-15,5.323454994228734e-17
1419.0,6.739433699261086e-15,5.315611368217464e-17
1420.0,6.725465771520261e-15,5.2963799395787485e-17
1421.0,6.711846124183488e-15,5.3159853074658076e-17
1422.0,6.697525144867416e-15,5.2838535794977484e-17
1423.0,6.6845152063790504e-15,5.286033757111023e-17
1424.0,6.671008763268822e-15,5.285221503480245e-17
1425.0,6.657161899560421e-15,5.275792808510775e-17
1426.0,6.643688352514014e-15,5.2703437744616296e-17
1427.0,6.629625750612182e-15,5.2508084911368705e-17
1428.0,6.6166470981928424e-15,5.24817649284485e-17
1429.0,6.603248902878418e-15,5.259561620590978e-17
1430.0,6.589067245310575e-15,5.241362003926534e-17
1431.0,6.576133690682e-15,5.230444572379235e-17
1432.0,6.562730554231925e-15,5.228646291042551e-17
1433.0,6.548886374758601e-15,5.22323350644844e-17
1434.0,6.5350783628075875e-15,5.217205422214277e-17
1435.0,6.522040697841841e-15,5.211468253021515e-17
1436.0,6.509158583181779e-15,5.17148784222905e-17
1437.0,6.495551557275891e-15,5.1800804886025076e-17
