wave,flux,flux_err
1350.0,6.119369822367346e-15,3.7559776864300554e-17
1351.0,6.106632045874036e-15,3.8053708407211656e-17
1352.0,6.094367459502309e-15,3.831592779275834e-17
1353.0,6.08314047026299e-15,3.8078254125689596e-17
1354.0,6.069784662708507e-15,3.7694270436131505e-17
1355.0,6.0568615897497545e-15,3.8043517668900087e-17
1356.0,6.0438741270435814e-15,3.847604366726794e-17
1357.0,6.0311914396507364e-15,3.865915882519823e-17
1358.0,6.019182783364625e-15,3.794784222323337e-17
1359.0,6.007040088679406e-15,3.789722812513e-17
1360.0,5.994017868058851e-15,3.7257639686009016e-17
1361.0,5.982740066902673e-15,3.715897699308494e-17
1362.0,5.969994350381323e-15,3.643264300001922e-17
1363.0,5.9569481661873684e-15,3.640437694285045e-17
1364.0,5.9440368146102e-15,3.5951748085029876e-17
1365.0,5.931229086121937e-15,3.537818134538453e-17
1366.0,5.921189299052391e-15,3.498344023295865e-17
1367.0,5.906981099848021e-15,3.448688445421777e-17
1368.0,5.8941688427744486e-15,3.391603410341433e-17
1369.0,5.882009080663342e-15,3.3446184166488966e-17
1370.0,5.870694467909484e-15,3.3365794613136066e-17
1371.0,5.858242490128039e-15,3.3356242324164155e-17
1372.0,5.845502142818444e-15,3.333651649779154e-17
1373.0,5.83299792718928e-15,3.2013526690120236e-17
1374.0,5.821420213254803e-15,3.192192328232646e-17
1375.0,5.808331435847602e-15,3.2240118962851705e-17
1376.0,5.796606671392326e-15,3.21711143479993e-17
1377.0,5.785509311553785e-15,3.1912904516848665e-17
1378.0,5.772393069414376e-15,3.1736568552387694e-17
1379.0,5.759907770351677e-15,3.084967990487435e-17
1380.0,5.748894698536714e-15,3.1040844786775966e-17
1381.0,5.736428686094332e-15,3.0192159263456205e-17
1382.0,5.723698728555975e-15,2.9618666315001166e-17
1383.0,5.7116897849406086e-15,2.973469368899777e-17
1384.0,5.699823270220898e-15,3.0229540427682607e-17
1385.0,5.687307574001522e-15,2.914212529683505e-17
1386.0,5.674753435553478e-15,2.804631228199388e-17
1387.0,5.663638656483421e-15,2.802626801410047e-17
1388.0,5.652636356353245e-15,2.808351952933156e-17
1389.0,5.639897563622434e-15,2.775663201741045e-17
1390.0,5.627385563614807e-15,2.7712593362568617e-17
1391.0,5.61649336284347e-15,2.7069846700617362e-17
1392.0,5.605113095583862e-15,2.6535628205821046e-17
1393.0,5.592503163179066e-15,2.6467041967457223e-17
1394.0,5.580176699606197e-15,2.663900108271475e-17
1395.0,5.569073595585346e-15,2.5927614996628983e-17
1396.0,5.557600269155209e-15,2.56172651669575e-17
1397.0,5.544932462058333e-15,2.5864692687477147e-17
1398.0,5.532721506040427e-15,2.59950588556116e-17
1399.0,5.5217732272810394e-15,2.5966863861994867e-17
1400.0,5.510191542559269e-15,2.5910748016741847e-17
1401.0,5.497548615197967e-15,2.615643461777117e-17
1402.0,5.4854153265278815e-15,2.6253409192881637e-17
1403.0,5.4752479919684765e-15,2.5786155534302638e-17
1404.0,5.463322013507713e-15,2.6025858514997616e-17
1405.0,5.452214164993621e-15,2.5833529534059298e-17
1406.0,5.44046230498126e-15,2.5810221978860136e-17
1407.0,5.427813089722536e-15,2.6045875833463205e-17
1408.0,5.415834355568585e-15,2.6099116458147557e-17
1409.0,5.405658600826146e-15,2.582003448917079e-17
1410.0,5.393724584116626e-15,2.5855281417158105e-17
1411.0,5.382127301814752e-15,2.5775792402024683e-17
1412.0,5.3719213722232795e-15,2.611273996912475e-17
1413.0,5.3602633760550686e-15,2.6198700016898814e-17
1414.0,5.348816184866895e-15,2.6084223364702943e-17
1415.0,5.337366013785928e-15,2.596817783054942e-17
1416.0,5.326032128531541e-15,2.6032131579810316e-17
1417.0,5.314589716398952e-15,2.5977427966364996e-17
1418.0,5.303078757464014e-15,2.5945523111393518e-17
1419.0,5.291893429907028e-15,2.5830009383456654e-17
1420.0,5.2817629924586455e-15,2.636654022726178e-17
1421.0,5.270536859156657e-15,2.6244585220291487e-17
1422.0,5.259335415487385e-15,2.6125312554224242e-17
1423.0,5.247979066514902e-15,2.6244540456631902e-17
1424.0,5.236771406691772e-15,2.6121747756994723e-17
1425.0,5.225571442161198e-15,2.5998625792808253e-17
1426.0,5.2144553860418076e-15,2.595727878416851e-17
1427.0,5.204514989814918e-15,2.6294353134632312e-17
1428.0,5.193180241388041e-15,2.6181201470075158e-17
1429.0,5.1820214226911985e-15,2.6077377282201618e-17
1430.0,5.171029478276843e-15,2.602337055077545e-17
1431.0,5.159809237523361e-15,2.5933837829436837e-17
1432.0,5.149928293777343e-15,2.5276029956820605e-17
1433.0,5.1387244991238374e-15,2.5213274979196286e-17
1434.0,5.1275124778713905e-15,2.5148918714816415e-17
1435.0,5.11674689143339e-15,2.5126546842416507e-17
1436.0,5.1066984685495335e-15,2.4466486324691968e-17
1437.0,5.09571899127634e-15,2.4453567253195896e-17
1438.0,5.084713128217789e-15,2.441465205474501e-17
1439.0,5.074725325037211e-15,2.3808140715791016e-17
1440.0,5.0639349204751105e-15,2.3810907582823414e-17
1441.0,5.053002794343041e-15,2.3810599392498268e-17
1442.0,5.04244662835922e-15,2.361882022760207e-17
1443.0,5.032206276322797e-15,2.3230973856654602e-17
1444.0,5.021429430202919e-15,2.324239972292521e-17
1445.0,5.010498261312634e-15,2.3263178102119138e-17
1446.0,5.00092882991903e-15,2.2723697051064666e-17
1447.0,4.9898360650058626e-15,2.273034096477995e-17
1448.0,4.9802420329176355e-15,2.227827577720479e-17
1449.0,4.9694890221097805e-15,2.2268074094731508e-17
1450.0,4.958704325071587e-15,2.2302861548924378e-17
1451.0,4.9489313465008145e-15,2.1717019039271016e-17
1452.0,4.9384011471259144e-15,2.1762665507120862e-17
1453.0,4.927717335187372e-15,2.1794194889399305e-17
1454.0,4.918369588214378e-15,2.123582529496203e-17
1455.0,4.907704141363246e-15,2.1296373689787318e-17
1456.0,4.897111872865196e-15,2.1324059648112807e-17
1457.0,4.887680135630626e-15,2.0805398123347755e-17
1458.0,4.877167636959767e-15,2.0881517841541336e-17
1459.0,4.8664036257781455e-15,2.0904910693624984e-17
1460.0,4.857121639908795e-15,2.040141834666316e-17
1461.0,4.846439402941929e-15,2.047274611950287e-17
1462.0,4.837113224142513e-15,2.0351480601791692e-17
1463.0,4.826723467693092e-15,2.0092657966589587e-17
1464.0,4.816877730197689e-15,2.0254798477751247e-17
1465.0,4.806699160397493e-15,2.0239776484140197e-17
1466.0,4.796468748587598e-15,2.0091664586493583e-17
1467.0,4.7870626699218464e-15,2.043450076076567e-17
1468.0,4.776713036910855e-15,2.0182940308858097e-17
1469.0,4.767499466328414e-15,2.0575186764845464e-17
1470.0,4.757016969195847e-15,2.0285930340049194e-17
1471.0,4.747960381784547e-15,2.0576049377587167e-17
