wave,flux,flux_err
1350.0,8.258879373254899e-15,4.529529074535016e-17
1351.0,8.242122057702306e-15,4.6228633968290065e-17
1352.0,8.22535019526401e-15,4.7159278907895803e-17
1353.0,8.206707360755681e-15,4.805604352336875e-17
1354.0,8.185489819443904e-15,4.685181292434089e-17
1355.0,8.167600168877629e-15,5.021869591940516e-17
1356.0,8.150625907150926e-15,5.108962050080618e-17
1357.0,8.13003266482285e-15,4.666796664859675e-17
1358.0,8.112523236559301e-15,4.667403108017437e-17
1359.0,8.095621143524046e-15,4.759414834255556e-17
1360.0,8.078684323100566e-15,4.8501905868834805e-17
1361.0,8.06145809082298e-15,4.930580877511956e-17
1362.0,8.04077293445668e-15,4.471296979080547e-17
1363.0,8.023321374859349e-15,4.493424765053612e-17
1364.0,8.006344180506481e-15,4.584479884619201e-17
1365.0,7.989289954515583e-15,4.6741643295957285e-17
1366.0,7.972127272356711e-15,4.759950639467152e-17
1367.0,7.954949274241573e-15,4.845748306476242e-17
1368.0,7.936469855868942e-15,4.7283487481857464e-17
1369.0,7.917676395704447e-15,4.5653543847487273e-17
1370.0,7.899479928189423e-15,4.49462547478212e-17
1371.0,7.88236391440874e-15,4.5846675620869145e-17
1372.0,7.865232759276399e-15,4.674562999566237e-17
1373.0,7.847957576514902e-15,4.759748455126808e-17
1374.0,7.83065368862204e-15,4.844392518844033e-17
1375.0,7.8134109905252e-15,4.9310646182199563e-17
1376.0,7.797365046717638e-15,4.751465764730299e-17
1377.0,7.77897109683887e-15,5.109629493162431e-17
1378.0,7.761713546064531e-15,4.552744748309991e-17
1379.0,7.743905325568567e-15,4.1187564886415146e-17
1380.0,7.725818956937083e-15,4.323213833869637e-17
1381.0,7.71012273060722e-15,4.4106289197467044e-17
1382.0,7.691249552957765e-15,4.2680327190791597e-17
1383.0,7.6742005092349e-15,4.355177981855686e-17
1384.0,7.65747742779449e-15,4.441036124936525e-17
1385.0,7.640768050158706e-15,4.52658995262113e-17
1386.0,7.624590446134421e-15,4.6488339156932464e-17
1387.0,7.608126972080756e-15,4.6007453252264505e-17
1388.0,7.591352466962996e-15,4.5920204520341326e-17
1389.0,7.574875913618848e-15,4.5504193191970423e-17
1390.0,7.558349260581437e-15,4.6327840342194696e-17
1391.0,7.541665208004457e-15,4.577621623160383e-17
1392.0,7.525238227697447e-15,4.655789609431184e-17
1393.0,7.507017556282611e-15,4.383290395174725e-17
1394.0,7.492154992942565e-15,4.5982480394571567e-17
1395.0,7.474036137833e-15,4.3762087563096184e-17
1396.0,7.459185312672573e-15,4.6514676096769654e-17
1397.0,7.441143084647084e-15,4.4165164223932866e-17
1398.0,7.426204608156861e-15,4.614782097301445e-17
1399.0,7.408223648987675e-15,4.32306648987789e-17
1400.0,7.393224767990428e-15,4.584197783468673e-17
1401.0,7.376832527459118e-15,4.4971170521649397e-17
1402.0,7.36041854223717e-15,4.493782845306332e-17
1403.0,7.3438292429837e-15,4.4032532676266443e-17
1404.0,7.327574284934664e-15,4.3912678991624853e-17
1405.0,7.311128382169512e-15,4.3789519004850297e-17
1406.0,7.29464999702342e-15,4.287512029412674e-17
1407.0,7.27840184894668e-15,4.2281673555317967e-17
1408.0,7.262692972886224e-15,4.2824185884942823e-17
1409.0,7.246823018122301e-15,4.3033844042543765e-17
1410.0,7.230683231440185e-15,4.251157578863219e-17
1411.0,7.21490243302834e-15,4.279479794041827e-17
1412.0,7.198848341230648e-15,4.2109311340093674e-17
1413.0,7.183017426071124e-15,4.236882750317476e-17
1414.0,7.16734219626517e-15,4.231907951702401e-17
1415.0,7.151489748792558e-15,4.228727000913557e-17
1416.0,7.135947032714803e-15,4.2351440548690705e-17
1417.0,7.120048839290598e-15,4.198439765220375e-17
1418.0,7.10432271406284e-15,4.156327921870451e-17
1419.0,7.0888523714484145e-15,4.199232768749672e-17
1420.0,7.0734278980658044e-15,4.159733247395536e-17
1421.0,7.0576126459357786e-15,4.1682848707333255e-17
1422.0,7.042192695754957e-15,4.1319338001656274e-17
1423.0,7.026817093297489e-15,4.130960821301916e-17
1424.0,7.0114878348906815e-15,4.1550831074142575e-17
1425.0,6.996130334144468e-15,4.164710401801674e-17
1426.0,6.980674144227121e-15,4.1278974387599214e-17
1427.0,6.9652110494395664e-15,4.0911761019354857e-17
1428.0,6.949997417609592e-15,4.092632616429016e-17
1429.0,6.934737568046638e-15,4.086899868762272e-17
1430.0,6.9197811961147965e-15,4.1291196878189323e-17
1431.0,6.90438883808812e-15,4.071813674643065e-17
1432.0,6.889038631518284e-15,3.988110123651955e-17
1433.0,6.874277834632736e-15,4.062775454384898e-17
1434.0,6.859286964073288e-15,3.9960691464152747e-17
1435.0,6.8442925564559976e-15,4.0396142102990107e-17
1436.0,6.829151040415831e-15,3.954291645388991e-17
1437.0,6.814372775844321e-15,4.034100434846124e-17
1438.0,6.79949544379298e-15,3.9869361469841913e-17
1439.0,6.784617375679398e-15,3.9463331985769163e-17
1440.0,6.7696169073334974e-15,3.9940632924250484e-17
1441.0,6.755027566945809e-15,3.995893495924979e-17
1442.0,6.740001817301454e-15,3.93512388982948e-17
1443.0,6.725375435999165e-15,3.9362400967634843e-17
1444.0,6.710760269658314e-15,3.9379937136874584e-17
1445.0,6.6961401338284816e-15,3.9399672832856426e-17
1446.0,6.681494273655154e-15,3.939635351511486e-17
1447.0,6.6669996733054894e-15,3.9126253817185123e-17
1448.0,6.652489245077665e-15,3.8781618003625057e-17
1449.0,6.6378272604173466e-15,3.87957979119039e-17
1450.0,6.623366586596512e-15,3.8315818695681596e-17
1451.0,6.6090705715492935e-15,3.9193775630088837e-17
1452.0,6.594721761410643e-15,3.9187131198313883e-17
1453.0,6.5803848890454015e-15,3.812675791707919e-17
1454.0,6.5659706594635726e-15,3.804561096712132e-17
1455.0,6.551671941627718e-15,3.8123418985858137e-17
1456.0,6.537284552956148e-15,3.811343315641506e-17
1457.0,6.523191134965651e-15,3.8336524585576953e-17
1458.0,6.508808262181409e-15,3.7439155680693915e-17
1459.0,6.494688186904497e-15,3.785232306344211e-17
1460.0,6.4806931378739696e-15,3.7381802866246676e-17
1461.0,6.4665519623075915e-15,3.776206847313837e-17
1462.0,6.452578511873616e-15,3.7334488293513096e-17
1463.0,6.438406349674036e-15,3.746904081155817e-17
1464.0,6.424694176582333e-15,3.766659463477433e-17
1465.0,6.410497710469839e-15,3.694760253738566e-17
1466.0,6.3965899666465634e-15,3.665270455154139e-17
1467.0,6.382775585107096e-15,3.6931301393192426e-17
1468.0,6.3690068575079855e-15,3.651194308657767e-17
1469.0,6.355237113725556e-15,3.715991216748047e-17
1470.0,6.341051531498951e-15,3.6116265867307326e-17
1471.0,6.327283068833566e-15,3.570455429894393e-17
1472.0,6.3137271019865686e-15,3.596726238695087e-17
1473.0,6.30040776871585e-15,3.6607068557169234e-17
1474.0,6.286609060683688e-15,3.654914502231545e-17
1475.0,6.272898306666894e-15,3.626694246418624e-17
1476.0,6.259296180623015e-15,3.579479376233686e-17
1477.0,6.245908192659162e-15,3.6346209131835185e-17
1478.0,6.232333595814855e-15,3.565211762064348e-17
1479.0,6.2190497066388175e-15,3.558182845087753e-17
1480.0,6.205381270425816e-15,3.5517608545008763e-17
1481.0,6.191855621872997e-15,3.5457879343793883e-17
1482.0,6.178604277687027e-15,3.56764587840364e-17
1483.0,6.165297015928684e-15,3.5216350322722867e-17
1484.0,6.152107356470733e-15,3.520358579533173e-17
1485.0,6.1384587429579864e-15,3.4607550355810066e-17
1486.0,6.1254294580180595e-15,3.500297749122734e-17
1487.0,6.1121141727872805e-15,3.50018429274245e-17
1488.0,6.09915568441275e-15,3.510169291316294e-17
1489.0,6.085736020873016e-15,3.4264896076170205e-17
1490.0,6.072853086741475e-15,3.4928227107897236e-17
1491.0,6.0595877678723056e-15,3.4365390147628745e-17
1492.0,6.04643488678924e-15,3.419105097948727e-17
1493.0,6.033555841945539e-15,3.379576256984071e-17
1494.0,6.02067827692437e-15,3.4470110624844176e-17
