wave,flux,flux_err
1350.0,1.290868638876792e-14,8.637309948180937e-17
1351.0,1.2887590804999437e-14,8.603592622423296e-17
1352.0,1.2866418745632979e-14,8.570043572814017e-17
1353.0,1.284635015185455e-14,8.59128144808755e-17
1354.0,1.2825014052876815e-14,8.529221148004278e-17
1355.0,1.280360129170078e-14,8.495538294222509e-17
1356.0,1.2782556135878499e-14,8.440686652990418e-17
1357.0,1.2762485035230283e-14,8.557901069692073e-17
1358.0,1.2740846781916241e-14,8.58183861283755e-17
1359.0,1.2719892271670006e-14,8.574213722769372e-17
1360.0,1.2699210730041561e-14,8.593473090817121e-17
1361.0,1.267854900813355e-14,8.668496507186886e-17
1362.0,1.2656672163839065e-14,8.678037043977681e-17
1363.0,1.2636478281947308e-14,8.73706548612664e-17
1364.0,1.2614632669621146e-14,8.724337733529942e-17
1365.0,1.2594155066974955e-14,8.702318105548104e-17
1366.0,1.2573426920813966e-14,8.806888024892161e-17
1367.0,1.2552698642365588e-14,8.93525940458944e-17
1368.0,1.2531021127839235e-14,8.862361023903101e-17
1369.0,1.2510483405453744e-14,8.993279353328028e-17
1370.0,1.2489749401059181e-14,9.00620880936254e-17
1371.0,1.246876743940492e-14,8.953880044831133e-17
1372.0,1.2448445955558889e-14,9.182907008744272e-17
1373.0,1.2427320309883487e-14,9.133633353001571e-17
1374.0,1.240609605804915e-14,9.061523965832037e-17
1375.0,1.2385600753351755e-14,9.142258309704323e-17
1376.0,1.2365181058049564e-14,9.216924068180757e-17
1377.0,1.2344756348873028e-14,8.99804881869772e-17
1378.0,1.2323566254643271e-14,8.939166562147154e-17
1379.0,1.2302467301696199e-14,8.80339434305831e-17
1380.0,1.2282525502937722e-14,8.698996760489987e-17
1381.0,1.226157223289494e-14,8.566581502237436e-17
1382.0,1.224010241644015e-14,8.461513920444043e-17
1383.0,1.2220487382269341e-14,8.146191208958849e-17
1384.0,1.2199988391504806e-14,7.995611544611756e-17
1385.0,1.2179078465609847e-14,7.890899756635807e-17
1386.0,1.2158100517595834e-14,7.835234806409426e-17
1387.0,1.2137007751129254e-14,7.730719115138194e-17
1388.0,1.2117090640615755e-14,7.440482003688187e-17
1389.0,1.2096290448693559e-14,7.370683502785665e-17
1390.0,1.2075447040991294e-14,7.361442019083069e-17
1391.0,1.2055694912081132e-14,7.349505615737632e-17
1392.0,1.2034622811347932e-14,7.28032843423041e-17
1393.0,1.2014818769621195e-14,7.29863821118244e-17
1394.0,1.1993641062721463e-14,7.207361949556114e-17
1395.0,1.1973715505499446e-14,7.245260981059357e-17
1396.0,1.1952601928706103e-14,7.139754842353591e-17
1397.0,1.1932326654194484e-14,7.168589202180281e-17
1398.0,1.1912146547543336e-14,7.120736149951787e-17
1399.0,1.1891497381396523e-14,7.110337496526486e-17
1400.0,1.1871081118049106e-14,7.059445439001003e-17
1401.0,1.1850826810523257e-14,7.049856805674809e-17
1402.0,1.1830381305861304e-14,7.050419910236487e-17
1403.0,1.1810713517158512e-14,7.107242031630225e-17
1404.0,1.1790144468368988e-14,7.125116823211498e-17
1405.0,1.1769779962470318e-14,7.080652294580007e-17
1406.0,1.1749649331225938e-14,7.179326740951608e-17
